round: 0
0.05	0.17	0.33	
0.20	0.04	0.52	
0.43	0.69	-0.21	
0.24	0.46	0.31	
0.84	0.69	0.18	
0.50	0.78	0.16	
0.26	0.56	-0.07	
-0.10	0.72	0.47	
0.06	0.82	0.04	
0.08	0.36	0.29	
0.27	0.40	0.67	


round: 2
0.05	0.17	0.33	
0.20	0.04	0.52	
0.26	0.56	-0.07	
0.00	0.69	0.05	
1.00	0.52	0.10	
0.48	0.74	0.17	
0.33	0.56	-0.17	
0.10	0.80	0.39	
0.16	0.16	0.32	
-0.02	0.18	0.32	
0.17	0.38	0.72	


round: 4
0.05	0.17	0.33	
0.20	0.04	0.52	
0.26	0.56	-0.07	
0.00	0.69	0.05	
1.00	0.52	0.10	
0.10	0.75	0.37	
0.33	0.52	-0.40	
0.48	0.66	-0.12	
0.16	0.10	0.27	
-0.02	0.26	0.23	
0.17	0.39	0.56	


round: 6
0.05	0.17	0.33	
0.20	0.04	0.52	
0.26	0.56	-0.07	
0.00	0.69	0.05	
1.00	0.52	0.10	
0.10	0.75	0.37	
0.48	0.66	-0.12	
0.17	0.39	0.65	
0.16	0.10	-0.03	
-0.02	0.26	0.16	
0.33	0.52	-0.88	


round: 8
0.05	0.17	0.33	
0.20	0.04	0.52	
0.26	0.56	-0.07	
0.00	0.69	0.05	
1.00	0.52	0.10	
0.10	0.75	0.37	
0.48	0.66	-0.12	
0.17	0.39	0.65	
-0.02	0.26	0.16	
0.33	0.52	-0.75	
0.16	0.10	0.40	


round: 10
0.05	0.17	0.33	
0.20	0.04	0.52	
0.26	0.56	-0.07	
0.00	0.69	0.05	
1.00	0.52	0.10	
0.10	0.75	0.37	
0.48	0.66	-0.12	
0.17	0.39	0.65	
-0.02	0.26	0.16	
0.33	0.52	-0.75	
0.16	0.10	0.40	


