round: 0
0.80	0.02	0.15	0.55	
0.23	0.39	0.37	0.17	
0.18	0.08	-0.18	0.10	
0.16	0.43	0.60	-0.08	
-0.30	0.62	0.34	0.55	
0.05	0.04	0.22	0.13	
0.50	0.61	0.01	0.06	
-0.38	0.21	-0.05	-0.37	
-0.40	0.85	0.52	0.08	
0.19	0.16	0.83	-0.22	
0.20	-0.15	0.24	0.80	


round: 2
0.80	0.02	0.15	0.55	
0.23	0.39	0.37	0.17	
0.50	0.61	0.01	0.06	
-0.80	1.33	0.52	0.06	
-0.60	0.74	-0.04	0.53	
0.09	-0.01	0.23	0.12	
0.37	-0.11	-0.13	0.08	
-0.77	0.51	-0.30	-0.36	
0.31	0.18	0.51	-0.11	
0.38	-0.05	0.85	-0.24	
0.41	-0.30	0.39	0.80	


round: 4
0.80	0.02	0.15	0.55	
0.23	0.39	0.37	0.17	
0.50	0.61	0.01	0.06	
-0.80	1.33	0.52	0.06	
-0.60	0.74	-0.04	0.53	
-0.77	0.51	-0.29	-0.46	
0.37	-0.11	0.03	0.14	
0.09	-0.01	0.44	0.17	
0.31	0.18	0.54	-0.15	
0.38	-0.05	0.92	-0.11	
0.41	-0.30	0.51	0.89	


round: 6
0.80	0.02	0.15	0.55	
0.23	0.39	0.37	0.17	
0.50	0.61	0.01	0.06	
-0.80	1.33	0.52	0.06	
-0.60	0.74	-0.04	0.53	
-0.77	0.51	-0.29	-0.46	
0.09	-0.01	0.44	0.17	
0.41	-0.30	0.16	0.75	
0.31	0.18	0.59	-0.41	
0.38	-0.05	1.02	-0.11	
0.37	-0.11	-0.35	-0.59	


round: 8
0.80	0.02	0.15	0.55	
0.23	0.39	0.37	0.17	
0.50	0.61	0.01	0.06	
-0.80	1.33	0.52	0.06	
-0.60	0.74	-0.04	0.53	
-0.77	0.51	-0.29	-0.46	
0.09	-0.01	0.44	0.17	
0.41	-0.30	0.16	0.75	
0.38	-0.05	1.02	-0.11	
0.37	-0.12	-0.34	-0.59	
0.31	0.21	0.58	0.71	


round: 10
0.80	0.02	0.15	0.55	
0.23	0.39	0.37	0.17	
0.50	0.61	0.01	0.06	
-0.80	1.33	0.52	0.06	
-0.60	0.74	-0.04	0.53	
-0.77	0.51	-0.29	-0.46	
0.09	-0.01	0.44	0.17	
0.41	-0.30	0.16	0.75	
0.38	-0.05	1.02	-0.11	
0.37	-0.12	-0.34	-0.59	
0.31	0.21	0.58	0.71	


