round: 0
0.88	0.83	0.24	0.64	
0.26	0.76	0.50	0.59	
0.35	0.53	0.13	0.19	
0.85	0.19	0.29	0.04	
0.75	-0.06	-0.08	0.11	
0.94	0.26	-0.06	-0.23	
0.33	0.73	0.26	0.20	
0.69	0.52	0.45	0.24	
0.80	-0.21	0.10	-0.02	
0.56	-0.11	0.38	0.16	
0.19	0.45	0.01	0.08	


round: 2
0.88	0.83	0.24	0.64	
0.26	0.76	0.50	0.59	
0.33	0.73	0.26	0.20	
0.80	-0.21	0.04	-0.07	
0.75	-0.06	0.04	0.28	
0.94	0.26	-0.09	-0.25	
0.35	0.53	0.04	0.11	
0.69	0.52	0.62	0.43	
0.85	0.19	0.20	-0.00	
0.56	-0.11	0.28	0.08	
0.19	0.45	-0.08	-0.02	


round: 4
0.88	0.83	0.24	0.64	
0.26	0.76	0.50	0.59	
0.33	0.73	0.26	0.20	
0.80	-0.21	0.04	-0.07	
0.75	-0.06	0.04	0.28	
0.69	0.52	0.62	0.37	
0.35	0.53	-0.29	-0.18	
0.94	0.26	-0.51	-0.62	
0.85	0.19	0.13	-0.09	
0.56	-0.11	0.13	-0.01	
0.19	0.45	-0.33	-0.21	


round: 6
0.88	0.83	0.24	0.64	
0.26	0.76	0.50	0.59	
0.33	0.73	0.26	0.20	
0.80	-0.21	0.04	-0.07	
0.75	-0.06	0.04	0.28	
0.69	0.52	0.62	0.37	
0.94	0.26	-0.51	-0.62	
0.19	0.28	0.64	-0.21	
0.85	0.26	-0.26	0.42	
0.56	-0.04	-0.25	0.06	
0.35	0.39	0.57	0.84	


round: 8
0.88	0.83	0.24	0.64	
0.26	0.76	0.50	0.59	
0.33	0.73	0.26	0.20	
0.80	-0.21	0.04	-0.07	
0.75	-0.06	0.04	0.28	
0.69	0.52	0.62	0.37	
0.94	0.26	-0.51	-0.62	
0.19	0.28	0.64	-0.21	
0.56	-0.04	-0.25	0.06	
0.35	0.39	0.57	0.84	
0.85	0.26	-0.26	0.42	


round: 10
0.88	0.83	0.24	0.64	
0.26	0.76	0.50	0.59	
0.33	0.73	0.26	0.20	
0.80	-0.21	0.04	-0.07	
0.75	-0.06	0.04	0.28	
0.69	0.52	0.62	0.37	
0.94	0.26	-0.51	-0.62	
0.19	0.28	0.64	-0.21	
0.56	-0.04	-0.25	0.06	
0.35	0.39	0.57	0.84	
0.85	0.26	-0.26	0.42	


